
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
824        824  2016-2017                    Rice        Production (in Tonnes)       Swat      14585
825        825  2016-2017                    Rice       Yield per Hectare in Kg       Swat       2786
826        826  2016-2017                   Maize            Area (in Hectares)       Swat      61600
827        827  2016-2017                   Maize        Production (in Tonnes)       Swat     115734
828        828  2016-2017                   Maize       Yield per Hectare in Kg       Swat       1879
829        829  2016-2017              Fertilizer             Total (in Tonnes)       Tank        102
830        830  2016-2017          Area Irrigated                  Canal - Govt       Tank       3987
831        831  2016-2017          Area Irrigated                   Canal - Pvt       Tank      36138
832        832  2016-2017          Area Irrigated                         Tanks       Tank          0
833        833  2016-2017          Area Irrigated                     Tubewells       Tank       8210
834        834  2016-2017          Area Irrigated                    Left Pumps       Tank      15915
835        835  2016-2017          Area Irrigated                         Wells       Tank      13720
836        836  2016-2017          Area Irrigated                        Others       Tank       6810
837        837  2016-2017               Tubewells                 Govt - Deisel       Tank          0
838        838  2016-2017               Tubewells                  Govt - Elect       Tank         23
839        839  2016-2017               Tubewells                  Pvt - Deisel       Tank        144
840        840  2016-2017               Tubewells                   Pvt - Elect       Tank        515
841        841  2016-2017     Tractors/Bulldozers               Govt - Tractors       Tank         17
842        842  2016-2017     Tractors/Bulldozers              Govt - Bulldozer       Tank          7
843        843  2016-2017     Tractors/Bulldozers                Pvt - Tractors       Tank       2446
844        844  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer       Tank         25
845        845  2016-2017  Agricultural Machinery        Wheat Threshers - Govt       Tank          6
846        846  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt       Tank        302
847        847  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt       Tank          0
848        848  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt       Tank        236
849        849  2016-2017  Agricultural Machinery         Maize Shellers - Govt       Tank          4
850        850  2016-2017  Agricultural Machinery          Maize Shellers - Pvt       Tank        538
851        851  2016-2017  Agricultural Machinery        Wheat Harvester - Govt       Tank          0
852        852  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt       Tank          6
853        853  2016-2017                   Wheat            Area (in Hectares)       Tank      14695
854        854  2016-2017                   Wheat        Production (in Tonnes)       Tank      20690
855        855  2016-2017                   Wheat       Yield per Hectare in Kg       Tank       1408
856        856  2016-2017               Sugarcane            Area (in Hectares)       Tank        116
857        857  2016-2017               Sugarcane        Production (in Tonnes)       Tank       2315
858        858  2016-2017               Sugarcane       Yield per Hectare in Kg       Tank      19957
859        859  2016-2017                    Rice            Area (in Hectares)       Tank        124
860        860  2016-2017                    Rice        Production (in Tonnes)       Tank        169
861        861  2016-2017                    Rice       Yield per Hectare in Kg       Tank       1363
862        862  2016-2017                   Maize            Area (in Hectares)       Tank        198
863        863  2016-2017                   Maize        Production (in Tonnes)       Tank        279
864        864  2016-2017                   Maize       Yield per Hectare in Kg       Tank       1409
865        865  2016-2017              Fertilizer             Total (in Tonnes)   Tor Ghar          0
866        866  2016-2017          Area Irrigated                  Canal - Govt   Tor Ghar          0
867        867  2016-2017          Area Irrigated                   Canal - Pvt   Tor Ghar       1735
868        868  2016-2017          Area Irrigated                         Tanks   Tor Ghar          0
869        869  2016-2017          Area Irrigated                     Tubewells   Tor Ghar       5895
870        870  2016-2017          Area Irrigated                    Left Pumps   Tor Ghar          0
871        871  2016-2017          Area Irrigated                         Wells   Tor Ghar          0
872        872  2016-2017          Area Irrigated                        Others   Tor Ghar          0
873        873  2016-2017               Tubewells                 Govt - Deisel   Tor Ghar          0
874        874  2016-2017               Tubewells                  Govt - Elect   Tor Ghar          0
875        875  2016-2017               Tubewells                  Pvt - Deisel   Tor Ghar         60
876        876  2016-2017               Tubewells                   Pvt - Elect   Tor Ghar         50
877        877  2016-2017     Tractors/Bulldozers               Govt - Tractors   Tor Ghar          8
878        878  2016-2017     Tractors/Bulldozers              Govt - Bulldozer   Tor Ghar          0
879        879  2016-2017     Tractors/Bulldozers                Pvt - Tractors   Tor Ghar        385
880        880  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer   Tor Ghar          6
881        881  2016-2017  Agricultural Machinery        Wheat Threshers - Govt   Tor Ghar          2
882        882  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt   Tor Ghar        145
883        883  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt   Tor Ghar          0
884        884  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt   Tor Ghar          4
